date | value

2009-01-03 | 1
2009-01-03 | 1.2
2010-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2010-07-03 | 3
2011-08-03 | 2
2011-09-03 | 1
2011-10-03 | 1.2
2010-11-03 | 3
2011-12-03 | 2
2011-13-03 | 1
2012-01-03 | 1.2
2012-07-03 | 3
2005-02-02 | 0.1
2011-09-14 | 390.57
2010-11-03 | 517.239
2020-06-26 | 998.808
2012-07-09 | 1242.2
2019-07-11 | 700.492
2019-06-25 | 416.636
2017-05-22 | 507.753
2012-12-23 | 1146.69
2013-12-02 | 1293.19
2001-42-42
2012-01-11 | 1
2012-01-11 | 214748364
